a|一個 |[eɪ]
cat|貓 |[kæt]
catch|接住/捕捉 |[kætʃ]
celebrate|慶祝 |[ˈsel.ə.breɪt]
cell phone|手機 |[ˈsel fəʊn]
cent|分(貨幣單位) |[sent]
center|中心 |[ˈsen.tər]
century|世紀 |[ˈsen.tʃər.i]
cereal|麥片 |[ˈsɪə.ri.əl]
certain|確定的 |[ˈsɜː.tən]
chair|椅子 |[tʃeər]
chalk|粉筆 |[tʃɔːk]
chance|機會 |[tʃɑːns]
change|改變/零錢 |[tʃeɪndʒ]
cheap|便宜的 |[tʃiːp]
cheat|欺騙/作弊 |[tʃiːt]
check|檢查/支票 |[tʃek]
cheer|歡呼 |[tʃɪər]
cheese|起司 |[tʃiːz]
chess|西洋棋 |[tʃes]
chicken|雞肉/雞 |[ˈtʃɪk.ɪn]
chief|首領/主要的 |[tʃiːf]
child|小孩 |[tʃaɪld]
childhood|童年 |[ˈtʃaɪld.hʊd]
chin|下巴 |[tʃɪn]
China|中國 |[ˈtʃaɪ.nə]
Chinese|中國人/中文/中國的 |[ˌtʃaɪˈniːz]
chocolate|巧克力 |[ˈtʃɒk.lət]
choose|選擇 |[tʃuːz]
chopsticks|筷子 |[ˈtʃɒp.stɪks]
Christmas|聖誕節 |[ˈkrɪs.məs]
church|教堂 |[tʃɜːtʃ]
circle|圓圈 |[ˈsɜː.kəl]
city|城市 |[ˈsɪt.i]
clap|拍手 |[klæp]
class|班級/課堂 |[klɑːs]
classmate|同學 |[ˈklɑːs.meɪt]
classroom|教室 |[ˈklɑːs.ruːm]
clean|清潔/乾淨的 |[kliːn]
clear|清晰的/明白的 |[klɪər]
clerk|店員 |[klɑːk]
smart|聰明的 |[smɑːt]
climb|爬 |[klaɪm]
clock|時鐘 |[klɒk]
close|關閉/接近的 |[kləʊz]
clothes|衣服 |[kləʊðz]
cloud|雲 |[klaʊd]
cloudy|多雲的 |[ˈklaʊ.di]
club|社團/俱樂部 |[klʌb]
coat|外套 |[kəʊt]
coaching|教練(指導) |[ˈkəʊ.tʃɪŋ]
coffee|咖啡 |[ˈkɒf.i]
coin|硬幣 |[kɔɪn]
coke|可樂 |[kəʊk]
cold|寒冷的/感冒 |[kəʊld]
collect|收集 |[kəˈlekt]
color|顏色 |[ˈkʌl.ər]
comb|梳子 |[kəʊm]
come|來 |[kʌm]
comfortable|舒適的 |[ˈkʌm.fə.tə.bəl]
comic|漫畫的/漫畫 |[ˈkɒm.ɪk]
common|常見的/共同的 |[ˈkɒm.ən]
computer|電腦 |[kəmˈpjuː.tər]
confident|有信心的 |[ˈkɒn.fɪ.dənt]
congratulate|祝賀 |[kənˈɡrætʃ.ə.leɪt]
convenient|方便的 |[kənˈviː.ni.ənt]
cook|煮飯/廚師 |[kʊk]
cookie|餅乾 |[ˈkʊk.i]
cool|涼爽的/酷的 |[kuːl]
copy|複製/複本 |[ˈkɒp.i]
corner|角落 |[ˈkɔː.nər]
correct|正確的 |[kəˈrekt]
cost|花費/成本 |[kɒst]
couch|沙發 |[kaʊtʃ]
cough|咳嗽 |[kɒf]
count|計算 |[kaʊnt]
country|國家/鄉村 |[ˈkʌn.tri]
cousin|堂表兄弟姊妹 |[ˈkʌz.ən]
cover|覆蓋/封面 |[ˈkʌv.ər]
cow|母牛 |[kaʊ]
crazy|發瘋的 |[ˈkreɪ.zi]
cream|奶油 |[kriːm]
create|創造 |[kriˈeɪt]
credit card|信用卡 |[ˈkred.ɪt kɑːd]
cricket|蟋蟀 |[ˈkrɪk.ɪt]
cry|哭泣 |[kraɪ]
culture|文化 |[ˈkʌl.tʃər]
cup|杯子 |[kʌp]
cure|治療 |[kjʊər]
curious|好奇的 |[ˈkjʊə.ri.əs]
current|目前的/水流 |[ˈkʌr.ənt]
curtain|窗簾 |[ˈkɜː.tən]
customer|顧客 |[ˈkʌs.tə.mər]
cut|切/割 |[kʌt]
cute|可愛的 |[kjuːt]
daily|每日的 |[ˈdeɪ.li]
dance|跳舞 |[dɑːns]
danger|危險 |[ˈdeɪn.dʒər]
dangerous|危險的 |[ˈdeɪn.dʒər.əs]
dark|黑暗的 |[dɑːk]
date|日期/約會 |[deɪt]
daughter|女兒 |[ˈdɔː.tər]
day|日/天 |[deɪ]
dead|死去的 |[ded]
deaf|聾的 |[def]
deal|交易/處理 |[diːl]
